dt_created,dt_updated,dt_filename,advertiser_id,country_name,insertion_order_name,insertion_order_id,unique_reach_total_reach,unique_reach_click_reach,unique_reach_impression_reach,impressions,unique_reach_average_impression_frequency,fetch_date
2024-11-28T02:08:23.730000,2024-11-28T02:08:33.913000,ad.csv,0,IN,adsdd,1018783442,227366,2501,226894,611106,2.69,28-11-2024
2024-11-28T02:08:23.730000,2024-11-28T02:08:33.913000,ad.csv,0,IN,adsdd,1017941969,588192,9310,588164,2074735,3.53,28-11-2024
2024-11-28T02:08:23.730000,2024-11-28T02:08:33.913000,ad.csv,0,IN,adsdd,1017953463,932484,42966,932477,5442639,5.84,28-11-2024
2024-11-28T02:08:23.730000,2024-11-28T02:08:33.913000,ad.csv,0,IN,adsdd,1018682424,132629,3097,132629,463196,3.49,28-11-2024
2024-11-28T02:08:23.730000,2024-11-28T02:08:33.913000,ad.csv,0,IN,adsdd,1018294018,86020,1556,86020,319216,3.71,28-11-2024
2024-11-28T02:08:23.730000,2024-11-28T02:08:33.913000,ad.csv,0,IN,adsdd,1018703630,1419799,591,1419799,6418477,4.52,28-11-2024
2024-11-28T02:08:23.730000,2024-11-28T02:08:33.913000,ad.csv,0,IN,adsdd,1018682427,931616,22343,931616,3651009,3.92,28-11-2024
2024-11-28T02:08:23.730000,2024-11-28T02:08:33.913000,ad.csv,0,IN,adsdd,1019107927,458133,122,458133,1119625,2.44,28-11-2024
2024-11-28T02:08:23.730000,2024-11-28T02:08:33.913000,ad.csv,0,IN,adsdd,1017940832,537130,9289,533836,2042841,3.83,28-11-2024
2024-11-28T02:08:23.730000,2024-11-28T02:08:33.913000,ad.csv,0,IN,adsdd,1018759718,130526,,130526,201140,1.54,28-11-2024
2024-11-28T02:08:23.730000,2024-11-28T02:08:33.913000,ad.csv,0,IN,adsdd,1018100737,5120181,98407,5119818,13962108,2.73,28-11-2024
2024-11-28T02:08:23.730000,2024-11-28T02:08:33.913000,ad.csv,0,IN,adsdd,1017743003,1739246,19595,1738899,4133041,2.38,28-11-2024
2024-11-28T02:08:23.730000,2024-11-28T02:08:33.913000,ad.csv,0,IN,adsdd,1017750030,959196,9119,959049,1848497,1.93,28-11-2024
2024-11-28T02:08:23.730000,2024-11-28T02:08:33.913000,ad.csv,0,IN,adsdd,1018732938,523337,12236,523337,1254075,2.4,28-11-2024
2024-11-28T02:08:23.730000,2024-11-28T02:08:33.913000,ad.csv,0,IN,adsdd,1018689428,1695887,59247,1695887,7738312,4.56,28-11-2024
2024-11-28T02:08:23.730000,2024-11-28T02:08:33.913000,ad.csv,0,IN,adsdd,1017951846,637358,16046,637358,3053340,4.79,28-11-2024
2024-11-28T02:08:23.730000,2024-11-28T02:08:33.913000,ad.csv,0,IN,adsdd,1017779427,2026480,48769,2026419,7133671,3.52,28-11-2024
2024-11-28T02:08:23.730000,2024-11-28T02:08:33.913000,ad.csv,0,IN,adsdd,1018399780,4797627,31213,4796396,7017645,1.46,28-11-2024
2024-11-28T02:08:23.730000,2024-11-28T02:08:33.913000,ad.csv,0,IN,adsdd,1018682451,505268,8841,503809,1739544,3.45,28-11-2024
2024-11-28T02:08:23.730000,2024-11-28T02:08:33.913000,ad.csv,0,IN,adsdd,1018745339,533508,12438,533508,1606288,3.01,28-11-2024
2024-11-28T02:08:23.730000,2024-11-28T02:08:33.913000,ad.csv,0,IN,adsdd,1019113651,980488,440,980450,3554206,3.63,28-11-2024
2024-11-28T02:08:23.730000,2024-11-28T02:08:33.913000,ad.csv,0,IN,adsdd,1017743009,1143140,15355,1143093,2197657,1.92,28-11-2024
